,Brand,Model Name,Display Size,Operating System,Picture Quality,Smart Tv,Sound Technology,Refresh Rate,Screen Type,Connectivity,Price
0,Mi,L40M8-5AIN,100 cm (40 inch),Google TV,"Full HD, 1920 x 1080",Yes,NA,60 Hz,LED,2 HDMI | 2 USB,"₹20,999"
1,SONY,KD - 43X74K,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,"Clear Phase, S-Master Digital Amplifier, Dolby Audio",60 Hz,LED,3 HDMI | 2 USB,"₹37,990"
2,SONY,KD-55X74K,138.8 cm (55 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹52,490"
3,SAMSUNG,UA55CUE70AKLXL,138 cm (55 inch),Tizen,"Ultra HD (4K), 3840 x 2160",Yes,NA,50 Hz,LED,3 (Rear) HDMI | 1 (Rear) USB,"₹42,990"
4,MOTOROLA,32HDGDMBSXP,80 cm (32 inch),Google TV,"HD Ready, 1366 x 768",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹10,999"
5,MOTOROLA,43UHDGDMBSXP,109 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Digital, Dolby Digital Plus",60 Hz,LED,3 HDMI | 2 USB,"₹21,999"
6,Hisense,50E7K,126 cm (50 inch),VIDAA,"Ultra HD (4K), 3840 × 2160",Yes,"Dolby Atmos, Dolby Audio, Stereo Speaker",60 Hz,QLED,3 HDMI | 2 USB,"₹27,999"
7,MOTOROLA,65UHDGQMBSGQ,165 cm (65 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,"Dolby Atmos, Dolby Digital, Dolby Digital Plus",60 Hz,QLED,3 HDMI | 2 USB,"₹40,999"
8,SONY,KD-43X64L,108 cm (43 inch),Google TV,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 1 USB,"₹40,990"
9,MOTOROLA,40FHDGDMBSXP,102 cm (40 inch),Google TV,"Full HD, 1920 x 1080",Yes,"Dolby Digital, Dolby Digital Plus",60 Hz,LED,2 HDMI | 2 USB,"₹16,999"
10,Mi,L43M7-A2IN,108 cm (43 inch),Android,"Ultra HD (4K), 3840 x 2160",Yes,NA,60 Hz,LED,3 HDMI | 2 USB,"₹25,990"
